id;id_ccaa;destino;motivo;fecha;turistas
1;1;Andalucía;Negocios y otros motivos profesionales;2026-01-01;41286
2;1;Andalucía;Negocios y otros motivos profesionales;2025-12-01;37844
3;1;Andalucía;Negocios y otros motivos profesionales;2025-11-01;32257
4;1;Andalucía;Negocios y otros motivos profesionales;2025-10-01;86311
5;1;Andalucía;Negocios y otros motivos profesionales;2025-09-01;81261
6;1;Andalucía;Negocios y otros motivos profesionales;2025-08-01;24326
7;1;Andalucía;Negocios y otros motivos profesionales;2025-07-01;46499
8;1;Andalucía;Negocios y otros motivos profesionales;2025-06-01;63265
9;1;Andalucía;Negocios y otros motivos profesionales;2025-05-01;81944
10;1;Andalucía;Negocios y otros motivos profesionales;2025-04-01;45393
11;1;Andalucía;Negocios y otros motivos profesionales;2025-03-01;64595
12;1;Andalucía;Negocios y otros motivos profesionales;2025-02-01;61546
13;1;Andalucía;Negocios y otros motivos profesionales;2025-01-01;43874
14;1;Andalucía;Negocios y otros motivos profesionales;2024-12-01;43775
15;1;Andalucía;Negocios y otros motivos profesionales;2024-11-01;70162
16;1;Andalucía;Negocios y otros motivos profesionales;2024-10-01;93324
17;1;Andalucía;Negocios y otros motivos profesionales;2024-09-01;79393
18;1;Andalucía;Negocios y otros motivos profesionales;2024-08-01;24289
19;1;Andalucía;Negocios y otros motivos profesionales;2024-07-01;42788
20;1;Andalucía;Negocios y otros motivos profesionales;2024-06-01;120402
21;1;Andalucía;Negocios y otros motivos profesionales;2024-05-01;73746
22;1;Andalucía;Negocios y otros motivos profesionales;2024-04-01;68885
23;1;Andalucía;Negocios y otros motivos profesionales;2024-03-01;57723
24;1;Andalucía;Negocios y otros motivos profesionales;2024-02-01;60067
25;1;Andalucía;Negocios y otros motivos profesionales;2024-01-01;47495
26;1;Andalucía;Negocios y otros motivos profesionales;2023-12-01;36568
27;1;Andalucía;Negocios y otros motivos profesionales;2023-11-01;73240
28;1;Andalucía;Negocios y otros motivos profesionales;2023-10-01;64395
29;1;Andalucía;Negocios y otros motivos profesionales;2023-09-01;84340
30;1;Andalucía;Negocios y otros motivos profesionales;2023-08-01;25583
31;1;Andalucía;Negocios y otros motivos profesionales;2023-07-01;52997
32;1;Andalucía;Negocios y otros motivos profesionales;2023-06-01;74691
33;1;Andalucía;Negocios y otros motivos profesionales;2023-05-01;64870
34;1;Andalucía;Negocios y otros motivos profesionales;2023-04-01;38032
35;1;Andalucía;Negocios y otros motivos profesionales;2023-03-01;65296
36;1;Andalucía;Negocios y otros motivos profesionales;2023-02-01;74001
37;1;Andalucía;Negocios y otros motivos profesionales;2023-01-01;27155
38;1;Andalucía;Negocios y otros motivos profesionales;2022-12-01;39205
39;1;Andalucía;Negocios y otros motivos profesionales;2022-11-01;67726
40;1;Andalucía;Negocios y otros motivos profesionales;2022-10-01;82579
41;1;Andalucía;Negocios y otros motivos profesionales;2022-09-01;67938
42;1;Andalucía;Negocios y otros motivos profesionales;2022-08-01;19620
43;1;Andalucía;Negocios y otros motivos profesionales;2022-07-01;30535
44;1;Andalucía;Negocios y otros motivos profesionales;2022-06-01;55161
45;1;Andalucía;Negocios y otros motivos profesionales;2022-05-01;53494
46;1;Andalucía;Negocios y otros motivos profesionales;2022-04-01;60861
47;1;Andalucía;Negocios y otros motivos profesionales;2022-03-01;34145
48;1;Andalucía;Negocios y otros motivos profesionales;2022-02-01;26066
49;1;Andalucía;Negocios y otros motivos profesionales;2022-01-01;14291
50;1;Andalucía;Negocios y otros motivos profesionales;2021-12-01;29165
51;1;Andalucía;Negocios y otros motivos profesionales;2021-11-01;27522
52;1;Andalucía;Negocios y otros motivos profesionales;2021-10-01;40581
53;1;Andalucía;Negocios y otros motivos profesionales;2021-09-01;37289
54;1;Andalucía;Negocios y otros motivos profesionales;2021-08-01;26375
55;1;Andalucía;Negocios y otros motivos profesionales;2021-07-01;27637
56;1;Andalucía;Negocios y otros motivos profesionales;2021-06-01;37221
57;1;Andalucía;Negocios y otros motivos profesionales;2021-05-01;34137
58;1;Andalucía;Negocios y otros motivos profesionales;2021-04-01;29346
59;1;Andalucía;Negocios y otros motivos profesionales;2021-03-01;24522
60;1;Andalucía;Negocios y otros motivos profesionales;2021-02-01;9851
61;1;Andalucía;Negocios y otros motivos profesionales;2021-01-01;9505
62;1;Andalucía;Negocios y otros motivos profesionales;2020-12-01;17239
63;1;Andalucía;Negocios y otros motivos profesionales;2020-11-01;10175
64;1;Andalucía;Negocios y otros motivos profesionales;2020-10-01;14168
65;1;Andalucía;Negocios y otros motivos profesionales;2020-09-01;11324
66;1;Andalucía;Negocios y otros motivos profesionales;2020-08-01;6095
67;1;Andalucía;Negocios y otros motivos profesionales;2020-07-01;22562
71;1;Andalucía;Negocios y otros motivos profesionales;2020-03-01;16898
72;1;Andalucía;Negocios y otros motivos profesionales;2020-02-01;44908
73;1;Andalucía;Negocios y otros motivos profesionales;2020-01-01;78375
74;1;Andalucía;Negocios y otros motivos profesionales;2019-12-01;84140
75;1;Andalucía;Negocios y otros motivos profesionales;2019-11-01;64505
76;1;Andalucía;Negocios y otros motivos profesionales;2019-10-01;73955
77;1;Andalucía;Negocios y otros motivos profesionales;2019-09-01;86912
78;1;Andalucía;Negocios y otros motivos profesionales;2019-08-01;20461
79;1;Andalucía;Negocios y otros motivos profesionales;2019-07-01;50399
80;1;Andalucía;Negocios y otros motivos profesionales;2019-06-01;66003
81;1;Andalucía;Negocios y otros motivos profesionales;2019-05-01;106027
82;1;Andalucía;Negocios y otros motivos profesionales;2019-04-01;55801
83;1;Andalucía;Negocios y otros motivos profesionales;2019-03-01;75376
84;1;Andalucía;Negocios y otros motivos profesionales;2019-02-01;68755
85;1;Andalucía;Negocios y otros motivos profesionales;2019-01-01;62457
86;1;Andalucía;Negocios y otros motivos profesionales;2018-12-01;41353
87;1;Andalucía;Negocios y otros motivos profesionales;2018-11-01;46703
88;1;Andalucía;Negocios y otros motivos profesionales;2018-10-01;54736
89;1;Andalucía;Negocios y otros motivos profesionales;2018-09-01;78102
90;1;Andalucía;Negocios y otros motivos profesionales;2018-08-01;20682
91;1;Andalucía;Negocios y otros motivos profesionales;2018-07-01;28986
92;1;Andalucía;Negocios y otros motivos profesionales;2018-06-01;63789
93;1;Andalucía;Negocios y otros motivos profesionales;2018-05-01;48082
94;1;Andalucía;Negocios y otros motivos profesionales;2018-04-01;44639
95;1;Andalucía;Negocios y otros motivos profesionales;2018-03-01;99737
96;1;Andalucía;Negocios y otros motivos profesionales;2018-02-01;64989
97;1;Andalucía;Negocios y otros motivos profesionales;2018-01-01;44273
98;1;Andalucía;Negocios y otros motivos profesionales;2017-12-01;56883
99;1;Andalucía;Negocios y otros motivos profesionales;2017-11-01;37161
100;1;Andalucía;Negocios y otros motivos profesionales;2017-10-01;64452
101;1;Andalucía;Negocios y otros motivos profesionales;2017-09-01;82182
102;1;Andalucía;Negocios y otros motivos profesionales;2017-08-01;18370
103;1;Andalucía;Negocios y otros motivos profesionales;2017-07-01;49033
104;1;Andalucía;Negocios y otros motivos profesionales;2017-06-01;75465
105;1;Andalucía;Negocios y otros motivos profesionales;2017-05-01;54698
106;1;Andalucía;Negocios y otros motivos profesionales;2017-04-01;52524
107;1;Andalucía;Negocios y otros motivos profesionales;2017-03-01;65945
108;1;Andalucía;Negocios y otros motivos profesionales;2017-02-01;65229
109;1;Andalucía;Negocios y otros motivos profesionales;2017-01-01;32493
110;1;Andalucía;Negocios y otros motivos profesionales;2016-12-01;43301
111;1;Andalucía;Negocios y otros motivos profesionales;2016-11-01;53040
112;1;Andalucía;Negocios y otros motivos profesionales;2016-10-01;56997
113;1;Andalucía;Negocios y otros motivos profesionales;2016-09-01;38825
