id;id_ccaa;destino;motivo;alojamiento_nivel1;alojamiento_nivel2;anio;viajes
1;1;Andalucía;Negocios y otros motivos profesionales;Total;;2024;2388028
2;1;Andalucía;Negocios y otros motivos profesionales;Total;;2023;2962718
3;1;Andalucía;Negocios y otros motivos profesionales;Total;;2022;2236181
4;1;Andalucía;Negocios y otros motivos profesionales;Total;;2021;2124329
5;1;Andalucía;Negocios y otros motivos profesionales;Total;;2020;1689299
6;1;Andalucía;Negocios y otros motivos profesionales;Total;;2019;1893374
7;1;Andalucía;Negocios y otros motivos profesionales;Total;;2018;2611443
8;1;Andalucía;Negocios y otros motivos profesionales;Total;;2017;2212025
9;1;Andalucía;Negocios y otros motivos profesionales;Total;;2016;2439502
10;1;Andalucía;Negocios y otros motivos profesionales;Total;;2015;2604436
11;1;Andalucía;Congresos, ferias y convenciones;Total;;2024;238720
12;1;Andalucía;Congresos, ferias y convenciones;Total;;2023;194429
13;1;Andalucía;Congresos, ferias y convenciones;Total;;2022;202178
16;1;Andalucía;Congresos, ferias y convenciones;Total;;2019;171466
17;1;Andalucía;Congresos, ferias y convenciones;Total;;2018;166578
18;1;Andalucía;Congresos, ferias y convenciones;Total;;2017;187858
19;1;Andalucía;Congresos, ferias y convenciones;Total;;2016;100558
20;1;Andalucía;Congresos, ferias y convenciones;Total;;2015;204190
21;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2024;1368104
22;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2023;1723739
23;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2022;1337539
24;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2021;1556013
25;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2020;1317812
26;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2019;1003654
27;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2018;1630514
28;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2017;1222829
29;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2016;1305586
30;1;Andalucía;Desplazamiento al centro de trabajo;Total;;2015;1724308
31;1;Andalucía;Otros motivos profesionales;Total;;2024;781204
32;1;Andalucía;Otros motivos profesionales;Total;;2023;1044549
33;1;Andalucía;Otros motivos profesionales;Total;;2022;696464
34;1;Andalucía;Otros motivos profesionales;Total;;2021;506269
35;1;Andalucía;Otros motivos profesionales;Total;;2020;334628
36;1;Andalucía;Otros motivos profesionales;Total;;2019;718254
37;1;Andalucía;Otros motivos profesionales;Total;;2018;814351
38;1;Andalucía;Otros motivos profesionales;Total;;2017;801338
39;1;Andalucía;Otros motivos profesionales;Total;;2016;1033358
40;1;Andalucía;Otros motivos profesionales;Total;;2015;675938
41;1;Andalucía;Motivos personales;Total;;2024;29243458
42;1;Andalucía;Motivos personales;Total;;2023;28834101
43;1;Andalucía;Motivos personales;Total;;2022;25884102
44;1;Andalucía;Motivos personales;Total;;2021;23854345
45;1;Andalucía;Motivos personales;Total;;2020;17199942
46;1;Andalucía;Motivos personales;Total;;2019;30824163
47;1;Andalucía;Motivos personales;Total;;2018;30036468
48;1;Andalucía;Motivos personales;Total;;2017;30377202
49;1;Andalucía;Motivos personales;Total;;2016;29322010
50;1;Andalucía;Motivos personales;Total;;2015;27793708
51;1;Andalucía;Ocio, recreo y vacaciones;Total;;2024;17450719
52;1;Andalucía;Ocio, recreo y vacaciones;Total;;2023;17330695
53;1;Andalucía;Ocio, recreo y vacaciones;Total;;2022;15353501
54;1;Andalucía;Ocio, recreo y vacaciones;Total;;2021;13009298
55;1;Andalucía;Ocio, recreo y vacaciones;Total;;2020;9103251
56;1;Andalucía;Ocio, recreo y vacaciones;Total;;2019;17590612
57;1;Andalucía;Ocio, recreo y vacaciones;Total;;2018;16963300
58;1;Andalucía;Ocio, recreo y vacaciones;Total;;2017;16441543
59;1;Andalucía;Ocio, recreo y vacaciones;Total;;2016;15444843
60;1;Andalucía;Ocio, recreo y vacaciones;Total;;2015;14805454
61;1;Andalucía;Turismo de sol y playa;Total;;2024;7039610
62;1;Andalucía;Turismo de sol y playa;Total;;2023;7162867
63;1;Andalucía;Turismo de sol y playa;Total;;2022;7481747
64;1;Andalucía;Turismo de sol y playa;Total;;2021;6984235
65;1;Andalucía;Turismo de sol y playa;Total;;2020;4404406
66;1;Andalucía;Turismo de sol y playa;Total;;2019;7278587
67;1;Andalucía;Turismo de sol y playa;Total;;2018;6154770
68;1;Andalucía;Turismo de sol y playa;Total;;2017;5872468
69;1;Andalucía;Turismo de sol y playa;Total;;2016;6803351
70;1;Andalucía;Turismo de sol y playa;Total;;2015;7340544
71;1;Andalucía;Turismo de naturaleza;Total;;2024;1291258
72;1;Andalucía;Turismo de naturaleza;Total;;2023;1095060
73;1;Andalucía;Turismo de naturaleza;Total;;2022;1249706
74;1;Andalucía;Turismo de naturaleza;Total;;2021;1243191
75;1;Andalucía;Turismo de naturaleza;Total;;2020;934185
76;1;Andalucía;Turismo de naturaleza;Total;;2019;1472623
77;1;Andalucía;Turismo de naturaleza;Total;;2018;1039901
78;1;Andalucía;Turismo de naturaleza;Total;;2017;826756
79;1;Andalucía;Turismo de naturaleza;Total;;2016;1038915
80;1;Andalucía;Turismo de naturaleza;Total;;2015;1451981
81;1;Andalucía;Turismo cultural;Total;;2024;2594955
82;1;Andalucía;Turismo cultural;Total;;2023;2496035
83;1;Andalucía;Turismo cultural;Total;;2022;2714460
84;1;Andalucía;Turismo cultural;Total;;2021;1536643
85;1;Andalucía;Turismo cultural;Total;;2020;794670
86;1;Andalucía;Turismo cultural;Total;;2019;2257965
87;1;Andalucía;Turismo cultural;Total;;2018;1981171
88;1;Andalucía;Turismo cultural;Total;;2017;1699241
89;1;Andalucía;Turismo cultural;Total;;2016;1915152
90;1;Andalucía;Turismo cultural;Total;;2015;1963730
91;1;Andalucía;Turismo gastronómico;Total;;2024;215026
92;1;Andalucía;Turismo gastronómico;Total;;2023;271873
93;1;Andalucía;Turismo gastronómico;Total;;2022;160771
94;1;Andalucía;Turismo gastronómico;Total;;2021;140809
96;1;Andalucía;Turismo gastronómico;Total;;2019;177614
97;1;Andalucía;Turismo gastronómico;Total;;2018;139242
98;1;Andalucía;Turismo gastronómico;Total;;2017;113116
99;1;Andalucía;Turismo gastronómico;Total;;2016;128413
100;1;Andalucía;Turismo gastronómico;Total;;2015;111476
101;1;Andalucía;Turismo deportivo;Total;;2024;565973
102;1;Andalucía;Turismo deportivo;Total;;2023;414648
103;1;Andalucía;Turismo deportivo;Total;;2022;430210
104;1;Andalucía;Turismo deportivo;Total;;2021;285473
105;1;Andalucía;Turismo deportivo;Total;;2020;323649
106;1;Andalucía;Turismo deportivo;Total;;2019;541420
107;1;Andalucía;Turismo deportivo;Total;;2018;628841
