Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2024;14.885.145
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2023;13.564.561
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2022;12.799.191
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2021;10.586.050
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2020;6.979.527
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2019;13.299.264
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2018;12.466.932
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2017;12.060.746
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2016;11.247.619
01 Andalucía;Viajes;De mercado;;Total;Total;Total;Total;Total;2015;11.452.712
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2024;7.489.435
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2023;7.370.068
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2022;7.489.880
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2021;5.653.304
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2020;3.100.315
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2019;7.300.535
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2018;7.259.345
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2017;6.866.470
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2016;6.592.221
01 Andalucía;Viajes;De mercado;Hotelero;Total;Total;Total;Total;Total;2015;6.837.509
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2024;4.695.100
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2023;4.015.707
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2022;3.386.240
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2021;3.351.132
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2020;2.601.037
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2019;3.868.214
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2018;3.205.373
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2017;2.958.380
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2016;2.935.088
01 Andalucía;Viajes;De mercado;Vivienda en alquiler;Total;Total;Total;Total;Total;2015;2.562.529
01 Andalucía;Viajes;De mercado;Camping;Total;Total;Total;Total;Total;2024;788.787
