Destino;Concepto turístico;Tipo de dato;Periodo;Total
01 Andalucía;Viajes;Valor absoluto;2025T3;10.080.750
01 Andalucía;Viajes;Valor absoluto;2025T2;7.852.008
01 Andalucía;Viajes;Valor absoluto;2025T1;5.306.009
01 Andalucía;Viajes;Valor absoluto;2024T4;6.077.033
01 Andalucía;Viajes;Valor absoluto;2024T3;11.304.850
01 Andalucía;Viajes;Valor absoluto;2024T2;7.464.339
01 Andalucía;Viajes;Valor absoluto;2024T1;6.785.264
01 Andalucía;Viajes;Valor absoluto;2023T4;6.779.711
01 Andalucía;Viajes;Valor absoluto;2023T3;10.852.925
01 Andalucía;Viajes;Valor absoluto;2023T2;8.308.569
01 Andalucía;Viajes;Valor absoluto;2023T1;5.855.614
01 Andalucía;Viajes;Valor absoluto;2022T4;5.912.410
01 Andalucía;Viajes;Valor absoluto;2022T3;9.690.833
01 Andalucía;Viajes;Valor absoluto;2022T2;7.267.249
01 Andalucía;Viajes;Valor absoluto;2022T1;5.249.791
01 Andalucía;Viajes;Valor absoluto;2021T4;6.243.615
01 Andalucía;Viajes;Valor absoluto;2021T3;11.425.135
01 Andalucía;Viajes;Valor absoluto;2021T2;6.021.242
01 Andalucía;Viajes;Valor absoluto;2021T1;2.288.682
01 Andalucía;Viajes;Valor absoluto;2020T4;2.621.214
01 Andalucía;Viajes;Valor absoluto;2020T3;9.268.410
01 Andalucía;Viajes;Valor absoluto;2020T2;1.974.461
01 Andalucía;Viajes;Valor absoluto;2020T1;5.025.157
01 Andalucía;Viajes;Valor absoluto;2019T4;6.516.030
01 Andalucía;Viajes;Valor absoluto;2019T3;10.981.904
01 Andalucía;Viajes;Valor absoluto;2019T2;8.070.795
01 Andalucía;Viajes;Valor absoluto;2019T1;7.148.808
01 Andalucía;Viajes;Valor absoluto;2018T4;6.236.433
01 Andalucía;Viajes;Valor absoluto;2018T3;11.205.631
01 Andalucía;Viajes;Valor absoluto;2018T2;8.452.415
01 Andalucía;Viajes;Valor absoluto;2018T1;6.753.431
01 Andalucía;Viajes;Valor absoluto;2017T4;6.326.090
01 Andalucía;Viajes;Valor absoluto;2017T3;11.336.648
01 Andalucía;Viajes;Valor absoluto;2017T2;8.591.768
01 Andalucía;Viajes;Valor absoluto;2017T1;6.334.721
01 Andalucía;Viajes;Valor absoluto;2016T4;6.026.014
01 Andalucía;Viajes;Valor absoluto;2016T3;11.482.971
01 Andalucía;Viajes;Valor absoluto;2016T2;7.601.626
01 Andalucía;Viajes;Valor absoluto;2016T1;6.650.901
01 Andalucía;Viajes;Valor absoluto;2015T4;5.877.320
01 Andalucía;Viajes;Valor absoluto;2015T3;10.977.119
01 Andalucía;Viajes;Valor absoluto;2015T2;8.280.648
01 Andalucía;Viajes;Valor absoluto;2015T1;5.263.057
01 Andalucía;Duración media de los viajes;Valor absoluto;2025T3;6,22
01 Andalucía;Duración media de los viajes;Valor absoluto;2025T2;3,36
01 Andalucía;Duración media de los viajes;Valor absoluto;2025T1;3,17
01 Andalucía;Duración media de los viajes;Valor absoluto;2024T4;2,91
01 Andalucía;Duración media de los viajes;Valor absoluto;2024T3;5,94
01 Andalucía;Duración media de los viajes;Valor absoluto;2024T2;3,04
01 Andalucía;Duración media de los viajes;Valor absoluto;2024T1;3,11
01 Andalucía;Duración media de los viajes;Valor absoluto;2023T4;3
01 Andalucía;Duración media de los viajes;Valor absoluto;2023T3;6,26
01 Andalucía;Duración media de los viajes;Valor absoluto;2023T2;3,09
01 Andalucía;Duración media de los viajes;Valor absoluto;2023T1;3
01 Andalucía;Duración media de los viajes;Valor absoluto;2022T4;2,95
01 Andalucía;Duración media de los viajes;Valor absoluto;2022T3;6,34
01 Andalucía;Duración media de los viajes;Valor absoluto;2022T2;3,13
01 Andalucía;Duración media de los viajes;Valor absoluto;2022T1;3,09
01 Andalucía;Duración media de los viajes;Valor absoluto;2021T4;3,16
01 Andalucía;Duración media de los viajes;Valor absoluto;2021T3;6,01
01 Andalucía;Duración media de los viajes;Valor absoluto;2021T2;2,82
01 Andalucía;Duración media de los viajes;Valor absoluto;2021T1;3,52
01 Andalucía;Duración media de los viajes;Valor absoluto;2020T4;3,62
01 Andalucía;Duración media de los viajes;Valor absoluto;2020T3;6,31
01 Andalucía;Duración media de los viajes;Valor absoluto;2020T2;3,03
01 Andalucía;Duración media de los viajes;Valor absoluto;2020T1;2,96
01 Andalucía;Duración media de los viajes;Valor absoluto;2019T4;3
01 Andalucía;Duración media de los viajes;Valor absoluto;2019T3;6,27
01 Andalucía;Duración media de los viajes;Valor absoluto;2019T2;3,11
01 Andalucía;Duración media de los viajes;Valor absoluto;2019T1;3,02
01 Andalucía;Duración media de los viajes;Valor absoluto;2018T4;2,74
01 Andalucía;Duración media de los viajes;Valor absoluto;2018T3;6,03
01 Andalucía;Duración media de los viajes;Valor absoluto;2018T2;2,87
01 Andalucía;Duración media de los viajes;Valor absoluto;2018T1;2,83
01 Andalucía;Duración media de los viajes;Valor absoluto;2017T4;2,88
01 Andalucía;Duración media de los viajes;Valor absoluto;2017T3;6,01
01 Andalucía;Duración media de los viajes;Valor absoluto;2017T2;3,12
01 Andalucía;Duración media de los viajes;Valor absoluto;2017T1;2,85
01 Andalucía;Duración media de los viajes;Valor absoluto;2016T4;2,97
01 Andalucía;Duración media de los viajes;Valor absoluto;2016T3;6,32
01 Andalucía;Duración media de los viajes;Valor absoluto;2016T2;2,8
01 Andalucía;Duración media de los viajes;Valor absoluto;2016T1;3,24
01 Andalucía;Duración media de los viajes;Valor absoluto;2015T4;2,91
01 Andalucía;Duración media de los viajes;Valor absoluto;2015T3;6,3
01 Andalucía;Duración media de los viajes;Valor absoluto;2015T2;2,94
01 Andalucía;Duración media de los viajes;Valor absoluto;2015T1;2,82
01 Andalucía;Pernoctaciones;Valor absoluto;2025T3;62.663.935
01 Andalucía;Pernoctaciones;Valor absoluto;2025T2;26.352.893
01 Andalucía;Pernoctaciones;Valor absoluto;2025T1;16.816.776
01 Andalucía;Pernoctaciones;Valor absoluto;2024T4;17.712.449
01 Andalucía;Pernoctaciones;Valor absoluto;2024T3;67.185.955
01 Andalucía;Pernoctaciones;Valor absoluto;2024T2;22.700.484
01 Andalucía;Pernoctaciones;Valor absoluto;2024T1;21.070.812
01 Andalucía;Pernoctaciones;Valor absoluto;2023T4;20.318.094
01 Andalucía;Pernoctaciones;Valor absoluto;2023T3;67.935.395
01 Andalucía;Pernoctaciones;Valor absoluto;2023T2;25.661.487
01 Andalucía;Pernoctaciones;Valor absoluto;2023T1;17.561.982
01 Andalucía;Pernoctaciones;Valor absoluto;2022T4;17.468.121
01 Andalucía;Pernoctaciones;Valor absoluto;2022T3;61.416.817
01 Andalucía;Pernoctaciones;Valor absoluto;2022T2;22.746.578
01 Andalucía;Pernoctaciones;Valor absoluto;2022T1;16.236.024
01 Andalucía;Pernoctaciones;Valor absoluto;2021T4;19.736.167
01 Andalucía;Pernoctaciones;Valor absoluto;2021T3;68.716.637
01 Andalucía;Pernoctaciones;Valor absoluto;2021T2;16.977.272
01 Andalucía;Pernoctaciones;Valor absoluto;2021T1;8.049.972
01 Andalucía;Pernoctaciones;Valor absoluto;2020T4;9.490.049
01 Andalucía;Pernoctaciones;Valor absoluto;2020T3;58.507.470
01 Andalucía;Pernoctaciones;Valor absoluto;2020T2;5.983.432
01 Andalucía;Pernoctaciones;Valor absoluto;2020T1;14.878.094
01 Andalucía;Pernoctaciones;Valor absoluto;2019T4;19.563.314
01 Andalucía;Pernoctaciones;Valor absoluto;2019T3;68.806.247
01 Andalucía;Pernoctaciones;Valor absoluto;2019T2;25.108.035
01 Andalucía;Pernoctaciones;Valor absoluto;2019T1;21.580.764
01 Andalucía;Pernoctaciones;Valor absoluto;2018T4;17.062.089
01 Andalucía;Pernoctaciones;Valor absoluto;2018T3;67.551.510
01 Andalucía;Pernoctaciones;Valor absoluto;2018T2;24.275.193
01 Andalucía;Pernoctaciones;Valor absoluto;2018T1;19.111.070
01 Andalucía;Pernoctaciones;Valor absoluto;2017T4;18.226.809
01 Andalucía;Pernoctaciones;Valor absoluto;2017T3;68.135.682
01 Andalucía;Pernoctaciones;Valor absoluto;2017T2;26.839.479
01 Andalucía;Pernoctaciones;Valor absoluto;2017T1;18.024.827
01 Andalucía;Pernoctaciones;Valor absoluto;2016T4;17.878.356
01 Andalucía;Pernoctaciones;Valor absoluto;2016T3;72.554.465
01 Andalucía;Pernoctaciones;Valor absoluto;2016T2;21.294.572
01 Andalucía;Pernoctaciones;Valor absoluto;2016T1;21.573.752
01 Andalucía;Pernoctaciones;Valor absoluto;2015T4;17.083.561
01 Andalucía;Pernoctaciones;Valor absoluto;2015T3;69.155.556
01 Andalucía;Pernoctaciones;Valor absoluto;2015T2;24.330.849
01 Andalucía;Pernoctaciones;Valor absoluto;2015T1;14.857.034
01 Andalucía;Gasto total;Valor absoluto;2025T3;3.576.058,81
01 Andalucía;Gasto total;Valor absoluto;2025T2;2.068.769,89
01 Andalucía;Gasto total;Valor absoluto;2025T1;1.175.120,82
01 Andalucía;Gasto total;Valor absoluto;2024T4;1.312.660,20
01 Andalucía;Gasto total;Valor absoluto;2024T3;3.813.270,94
01 Andalucía;Gasto total;Valor absoluto;2024T2;1.789.048,46
01 Andalucía;Gasto total;Valor absoluto;2024T1;1.436.141,50
01 Andalucía;Gasto total;Valor absoluto;2023T4;1.560.078,69
01 Andalucía;Gasto total;Valor absoluto;2023T3;3.618.430,28
01 Andalucía;Gasto total;Valor absoluto;2023T2;1.869.946,37
01 Andalucía;Gasto total;Valor absoluto;2023T1;1.120.347,92
01 Andalucía;Gasto total;Valor absoluto;2022T4;1.175.130,06
01 Andalucía;Gasto total;Valor absoluto;2022T3;3.188.204,92
01 Andalucía;Gasto total;Valor absoluto;2022T2;1.612.775,09
01 Andalucía;Gasto total;Valor absoluto;2022T1;987.298,96
01 Andalucía;Gasto total;Valor absoluto;2021T4;1.142.420,13
01 Andalucía;Gasto total;Valor absoluto;2021T3;3.233.596,93
01 Andalucía;Gasto total;Valor absoluto;2021T2;912.663,50
01 Andalucía;Gasto total;Valor absoluto;2021T1;334.682,26
01 Andalucía;Gasto total;Valor absoluto;2020T4;414.024,81
01 Andalucía;Gasto total;Valor absoluto;2020T3;2.260.972,36
01 Andalucía;Gasto total;Valor absoluto;2020T2;211.508,10
01 Andalucía;Gasto total;Valor absoluto;2020T1;830.641,11
01 Andalucía;Gasto total;Valor absoluto;2019T4;1.081.917,02
01 Andalucía;Gasto total;Valor absoluto;2019T3;2.844.037,81
01 Andalucía;Gasto total;Valor absoluto;2019T2;1.497.023,02
01 Andalucía;Gasto total;Valor absoluto;2019T1;1.101.699,24
01 Andalucía;Gasto total;Valor absoluto;2018T4;1.000.775,73
01 Andalucía;Gasto total;Valor absoluto;2018T3;2.742.518,32
01 Andalucía;Gasto total;Valor absoluto;2018T2;1.375.668,05
01 Andalucía;Gasto total;Valor absoluto;2018T1;946.558,18
01 Andalucía;Gasto total;Valor absoluto;2017T4;1.004.506,73
01 Andalucía;Gasto total;Valor absoluto;2017T3;2.592.151,25
01 Andalucía;Gasto total;Valor absoluto;2017T2;1.389.820,03
01 Andalucía;Gasto total;Valor absoluto;2017T1;901.275,47
01 Andalucía;Gasto total;Valor absoluto;2016T4;933.543,00
01 Andalucía;Gasto total;Valor absoluto;2016T3;2.598.294,73
01 Andalucía;Gasto total;Valor absoluto;2016T2;1.089.588,91
01 Andalucía;Gasto total;Valor absoluto;2016T1;1.005.106,85
01 Andalucía;Gasto total;Valor absoluto;2015T4;861.490,66
01 Andalucía;Gasto total;Valor absoluto;2015T3;2.503.858,05
01 Andalucía;Gasto total;Valor absoluto;2015T2;1.258.806,84
01 Andalucía;Gasto total;Valor absoluto;2015T1;750.978,44
01 Andalucía;Gasto medio por persona;Valor absoluto;2025T3;354,74
01 Andalucía;Gasto medio por persona;Valor absoluto;2025T2;263,47
01 Andalucía;Gasto medio por persona;Valor absoluto;2025T1;221,47
01 Andalucía;Gasto medio por persona;Valor absoluto;2024T4;216
01 Andalucía;Gasto medio por persona;Valor absoluto;2024T3;337,31
01 Andalucía;Gasto medio por persona;Valor absoluto;2024T2;239,68
01 Andalucía;Gasto medio por persona;Valor absoluto;2024T1;211,66
01 Andalucía;Gasto medio por persona;Valor absoluto;2023T4;230,11
01 Andalucía;Gasto medio por persona;Valor absoluto;2023T3;333,41
01 Andalucía;Gasto medio por persona;Valor absoluto;2023T2;225,06
01 Andalucía;Gasto medio por persona;Valor absoluto;2023T1;191,33
01 Andalucía;Gasto medio por persona;Valor absoluto;2022T4;198,76
01 Andalucía;Gasto medio por persona;Valor absoluto;2022T3;328,99
01 Andalucía;Gasto medio por persona;Valor absoluto;2022T2;221,92
01 Andalucía;Gasto medio por persona;Valor absoluto;2022T1;188,06
01 Andalucía;Gasto medio por persona;Valor absoluto;2021T4;182,97
01 Andalucía;Gasto medio por persona;Valor absoluto;2021T3;283,02
01 Andalucía;Gasto medio por persona;Valor absoluto;2021T2;151,57
01 Andalucía;Gasto medio por persona;Valor absoluto;2021T1;146,23
01 Andalucía;Gasto medio por persona;Valor absoluto;2020T4;157,95
01 Andalucía;Gasto medio por persona;Valor absoluto;2020T3;243,94
01 Andalucía;Gasto medio por persona;Valor absoluto;2020T2;107,12
01 Andalucía;Gasto medio por persona;Valor absoluto;2020T1;165,3
01 Andalucía;Gasto medio por persona;Valor absoluto;2019T4;166,04
01 Andalucía;Gasto medio por persona;Valor absoluto;2019T3;258,97
01 Andalucía;Gasto medio por persona;Valor absoluto;2019T2;185,49
01 Andalucía;Gasto medio por persona;Valor absoluto;2019T1;154,11
01 Andalucía;Gasto medio por persona;Valor absoluto;2018T4;160,47
01 Andalucía;Gasto medio por persona;Valor absoluto;2018T3;244,74
01 Andalucía;Gasto medio por persona;Valor absoluto;2018T2;162,75
01 Andalucía;Gasto medio por persona;Valor absoluto;2018T1;140,16
01 Andalucía;Gasto medio por persona;Valor absoluto;2017T4;158,79
01 Andalucía;Gasto medio por persona;Valor absoluto;2017T3;228,65
01 Andalucía;Gasto medio por persona;Valor absoluto;2017T2;161,76
01 Andalucía;Gasto medio por persona;Valor absoluto;2017T1;142,28
01 Andalucía;Gasto medio por persona;Valor absoluto;2016T4;154,92
01 Andalucía;Gasto medio por persona;Valor absoluto;2016T3;226,27
01 Andalucía;Gasto medio por persona;Valor absoluto;2016T2;143,34
01 Andalucía;Gasto medio por persona;Valor absoluto;2016T1;151,12
01 Andalucía;Gasto medio por persona;Valor absoluto;2015T4;146,58
01 Andalucía;Gasto medio por persona;Valor absoluto;2015T3;228,1
01 Andalucía;Gasto medio por persona;Valor absoluto;2015T2;152,02
01 Andalucía;Gasto medio por persona;Valor absoluto;2015T1;142,69
02 Aragón;Viajes;Valor absoluto;2025T3;1.744.963
02 Aragón;Viajes;Valor absoluto;2025T2;1.625.387
02 Aragón;Viajes;Valor absoluto;2025T1;1.319.338
02 Aragón;Viajes;Valor absoluto;2024T4;1.317.807
02 Aragón;Viajes;Valor absoluto;2024T3;1.787.138
02 Aragón;Viajes;Valor absoluto;2024T2;1.593.668
02 Aragón;Viajes;Valor absoluto;2024T1;2.032.464
02 Aragón;Viajes;Valor absoluto;2023T4;1.651.718
02 Aragón;Viajes;Valor absoluto;2023T3;2.032.563
02 Aragón;Viajes;Valor absoluto;2023T2;1.753.477
02 Aragón;Viajes;Valor absoluto;2023T1;1.892.123
02 Aragón;Viajes;Valor absoluto;2022T4;1.905.948
02 Aragón;Viajes;Valor absoluto;2022T3;2.334.808
02 Aragón;Viajes;Valor absoluto;2022T2;1.747.677
02 Aragón;Viajes;Valor absoluto;2022T1;1.476.327
02 Aragón;Viajes;Valor absoluto;2021T4;1.902.772
02 Aragón;Viajes;Valor absoluto;2021T3;2.129.446
02 Aragón;Viajes;Valor absoluto;2021T2;1.242.130
02 Aragón;Viajes;Valor absoluto;2021T1;620.994
02 Aragón;Viajes;Valor absoluto;2020T4;715.981
02 Aragón;Viajes;Valor absoluto;2020T3;1.494.747
02 Aragón;Viajes;Valor absoluto;2020T2;306.378
02 Aragón;Viajes;Valor absoluto;2020T1;1.486.687
02 Aragón;Viajes;Valor absoluto;2019T4;1.738.084
02 Aragón;Viajes;Valor absoluto;2019T3;1.920.899
02 Aragón;Viajes;Valor absoluto;2019T2;1.768.503
02 Aragón;Viajes;Valor absoluto;2019T1;1.998.425
02 Aragón;Viajes;Valor absoluto;2018T4;1.827.248
02 Aragón;Viajes;Valor absoluto;2018T3;2.305.553
02 Aragón;Viajes;Valor absoluto;2018T2;1.778.086
02 Aragón;Viajes;Valor absoluto;2018T1;2.140.865
02 Aragón;Viajes;Valor absoluto;2017T4;1.905.222
02 Aragón;Viajes;Valor absoluto;2017T3;2.244.527
02 Aragón;Viajes;Valor absoluto;2017T2;1.917.064
02 Aragón;Viajes;Valor absoluto;2017T1;2.021.077
02 Aragón;Viajes;Valor absoluto;2016T4;1.826.487
02 Aragón;Viajes;Valor absoluto;2016T3;2.373.693
02 Aragón;Viajes;Valor absoluto;2016T2;1.701.103
02 Aragón;Viajes;Valor absoluto;2016T1;2.110.424
02 Aragón;Viajes;Valor absoluto;2015T4;1.555.107
02 Aragón;Viajes;Valor absoluto;2015T3;1.877.744
02 Aragón;Viajes;Valor absoluto;2015T2;1.842.433
02 Aragón;Viajes;Valor absoluto;2015T1;1.476.414
02 Aragón;Duración media de los viajes;Valor absoluto;2025T3;5,26
02 Aragón;Duración media de los viajes;Valor absoluto;2025T2;3,15
02 Aragón;Duración media de los viajes;Valor absoluto;2025T1;2,97
02 Aragón;Duración media de los viajes;Valor absoluto;2024T4;3,1
02 Aragón;Duración media de los viajes;Valor absoluto;2024T3;6,23
02 Aragón;Duración media de los viajes;Valor absoluto;2024T2;2,8
02 Aragón;Duración media de los viajes;Valor absoluto;2024T1;2,85
02 Aragón;Duración media de los viajes;Valor absoluto;2023T4;2,72
02 Aragón;Duración media de los viajes;Valor absoluto;2023T3;4,85
02 Aragón;Duración media de los viajes;Valor absoluto;2023T2;2,96
02 Aragón;Duración media de los viajes;Valor absoluto;2023T1;2,48
02 Aragón;Duración media de los viajes;Valor absoluto;2022T4;2,72
02 Aragón;Duración media de los viajes;Valor absoluto;2022T3;4,96
02 Aragón;Duración media de los viajes;Valor absoluto;2022T2;2,61
02 Aragón;Duración media de los viajes;Valor absoluto;2022T1;2,81
02 Aragón;Duración media de los viajes;Valor absoluto;2021T4;2,68
02 Aragón;Duración media de los viajes;Valor absoluto;2021T3;4,79
02 Aragón;Duración media de los viajes;Valor absoluto;2021T2;2,44
02 Aragón;Duración media de los viajes;Valor absoluto;2021T1;2,9
02 Aragón;Duración media de los viajes;Valor absoluto;2020T4;2,79
02 Aragón;Duración media de los viajes;Valor absoluto;2020T3;6,4
02 Aragón;Duración media de los viajes;Valor absoluto;2020T2;3,27
02 Aragón;Duración media de los viajes;Valor absoluto;2020T1;2,89
02 Aragón;Duración media de los viajes;Valor absoluto;2019T4;2,55
02 Aragón;Duración media de los viajes;Valor absoluto;2019T3;5,68
02 Aragón;Duración media de los viajes;Valor absoluto;2019T2;2,71
02 Aragón;Duración media de los viajes;Valor absoluto;2019T1;2,76
02 Aragón;Duración media de los viajes;Valor absoluto;2018T4;2,71
02 Aragón;Duración media de los viajes;Valor absoluto;2018T3;4,76
02 Aragón;Duración media de los viajes;Valor absoluto;2018T2;2,64
02 Aragón;Duración media de los viajes;Valor absoluto;2018T1;2,57
02 Aragón;Duración media de los viajes;Valor absoluto;2017T4;2,5
02 Aragón;Duración media de los viajes;Valor absoluto;2017T3;5,23
02 Aragón;Duración media de los viajes;Valor absoluto;2017T2;2,45
02 Aragón;Duración media de los viajes;Valor absoluto;2017T1;2,44
02 Aragón;Duración media de los viajes;Valor absoluto;2016T4;2,83
02 Aragón;Duración media de los viajes;Valor absoluto;2016T3;5,32
02 Aragón;Duración media de los viajes;Valor absoluto;2016T2;2,42
02 Aragón;Duración media de los viajes;Valor absoluto;2016T1;2,65
02 Aragón;Duración media de los viajes;Valor absoluto;2015T4;2,58
02 Aragón;Duración media de los viajes;Valor absoluto;2015T3;4,78
02 Aragón;Duración media de los viajes;Valor absoluto;2015T2;2,43
02 Aragón;Duración media de los viajes;Valor absoluto;2015T1;2,6
02 Aragón;Pernoctaciones;Valor absoluto;2025T3;9.172.855
02 Aragón;Pernoctaciones;Valor absoluto;2025T2;5.114.872
02 Aragón;Pernoctaciones;Valor absoluto;2025T1;3.922.874
02 Aragón;Pernoctaciones;Valor absoluto;2024T4;4.091.624
02 Aragón;Pernoctaciones;Valor absoluto;2024T3;11.131.717
02 Aragón;Pernoctaciones;Valor absoluto;2024T2;4.470.190
02 Aragón;Pernoctaciones;Valor absoluto;2024T1;5.797.826
02 Aragón;Pernoctaciones;Valor absoluto;2023T4;4.490.736
02 Aragón;Pernoctaciones;Valor absoluto;2023T3;9.863.221
02 Aragón;Pernoctaciones;Valor absoluto;2023T2;5.194.815
02 Aragón;Pernoctaciones;Valor absoluto;2023T1;4.687.003
02 Aragón;Pernoctaciones;Valor absoluto;2022T4;5.182.225
02 Aragón;Pernoctaciones;Valor absoluto;2022T3;11.577.642
02 Aragón;Pernoctaciones;Valor absoluto;2022T2;4.561.698
02 Aragón;Pernoctaciones;Valor absoluto;2022T1;4.147.529
