Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto total;Dato base;2025;20.032,82
01 Andalucía;Gasto total;Dato base;2024;18.460,33
01 Andalucía;Gasto total;Dato base;2023;15.314,99
01 Andalucía;Gasto total;Dato base;2022;11.989,59
01 Andalucía;Gasto total;Dato base;2021;4.768,27
01 Andalucía;Gasto total;Dato base;2020;2.875,13
01 Andalucía;Gasto total;Dato base;2019;12.412,97
01 Andalucía;Gasto total;Dato base;2018;12.641,38
01 Andalucía;Gasto total;Dato base;2017;12.672,87
01 Andalucía;Gasto total;Dato base;2016;11.318,92
01 Andalucía;Gasto medio por persona;Dato base;2025;1.388
01 Andalucía;Gasto medio por persona;Dato base;2024;1.360
01 Andalucía;Gasto medio por persona;Dato base;2023;1.256
01 Andalucía;Gasto medio por persona;Dato base;2022;1.198
01 Andalucía;Gasto medio por persona;Dato base;2021;1.122
01 Andalucía;Gasto medio por persona;Dato base;2020;1.065
01 Andalucía;Gasto medio por persona;Dato base;2019;1.032
01 Andalucía;Gasto medio por persona;Dato base;2018;1.082
01 Andalucía;Gasto medio por persona;Dato base;2017;1.100
01 Andalucía;Gasto medio por persona;Dato base;2016;1.069
01 Andalucía;Gasto medio diario por persona;Dato base;2025;178
01 Andalucía;Gasto medio diario por persona;Dato base;2024;167
01 Andalucía;Gasto medio diario por persona;Dato base;2023;154
01 Andalucía;Gasto medio diario por persona;Dato base;2022;137
01 Andalucía;Gasto medio diario por persona;Dato base;2021;114
01 Andalucía;Gasto medio diario por persona;Dato base;2020;113
01 Andalucía;Gasto medio diario por persona;Dato base;2019;124
01 Andalucía;Gasto medio diario por persona;Dato base;2018;121
01 Andalucía;Gasto medio diario por persona;Dato base;2017;115
01 Andalucía;Gasto medio diario por persona;Dato base;2016;110
01 Andalucía;Duración media de los viajes;Dato base;2025;7,82
01 Andalucía;Duración media de los viajes;Dato base;2024;8,17
01 Andalucía;Duración media de los viajes;Dato base;2023;8,18
01 Andalucía;Duración media de los viajes;Dato base;2022;8,76
01 Andalucía;Duración media de los viajes;Dato base;2021;9,84
