Destino principal;Concepto turístico;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Motivo principal;Transporte principal;Forma de organización del viaje;Duración del viaje;Comunidad autónoma de residencia;Periodo;Total
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2024;2.388.028
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2023;2.962.718
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2022;2.236.181
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2021;2.124.329
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2020;1.689.299
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2019;1.893.374
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2018;2.611.443
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2017;2.212.025
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2016;2.439.502
01 Andalucía;Viajes;Total;;Negocios y otros motivos profesionales;Total;Total;Total;Total;2015;2.604.436
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2024;238.720
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2023;194.429
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2022;202.178
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2021;""
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2020;""
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2019;171.466
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2018;166.578
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2017;187.858
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2016;100.558
01 Andalucía;Viajes;Total;;Congresos, ferias y convenciones;Total;Total;Total;Total;2015;204.190
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2024;1.368.104
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2023;1.723.739
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2022;1.337.539
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2021;1.556.013
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2020;1.317.812
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2019;1.003.654
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2018;1.630.514
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2017;1.222.829
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2016;1.305.586
01 Andalucía;Viajes;Total;;Desplazamiento al centro de trabajo;Total;Total;Total;Total;2015;1.724.308
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2024;781.204
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2023;1.044.549
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2022;696.464
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2021;506.269
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2020;334.628
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2019;718.254
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2018;814.351
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2017;801.338
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2016;1.033.358
01 Andalucía;Viajes;Total;;Otros motivos profesionales;Total;Total;Total;Total;2015;675.938
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2024;29.243.458
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2023;28.834.101
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2022;25.884.102
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2021;23.854.345
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2020;17.199.942
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2019;30.824.163
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2018;30.036.468
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2017;30.377.202
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2016;29.322.010
01 Andalucía;Viajes;Total;;Motivos personales;Total;Total;Total;Total;2015;27.793.708
01 Andalucía;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2024;17.450.719
01 Andalucía;Viajes;Total;;Ocio, recreo y vacaciones;Total;Total;Total;Total;2023;17.330.695
